SET 10,SET5 ,,,,Set 5,Set 10,,SET5,SET10
1.5465207999986887,1.148423399999956,,,,1.1484234,1.5465208,,,
1.7943270000014309,1.455880999999863,,,,1.455881,1.794327,,,
1.4796031999994739,2.3211959000000206,,,,2.3211959,1.4796032,,,
1.4943523000001733,1.6354111000000557,,,,1.6354111,1.4943523,,,
1.530175899999449,1.3031595000011293,,,,1.3031595,1.5301759,,,
1.3794261000002734,1.0725511999989976,,,,1.0725512,1.3794261,,,
1.3292282999991585,1.5991813000000548,,,,1.5991813,1.3292283,,,
1.488611699998728,1.2847259000009217,,,,1.2847259,1.4886117,,,
1.3787393999991764,1.2000381000016205,,,,1.2000381,1.3787394,,,
1.3293152999995073,1.8363384999993286,,,,1.8363385,1.3293153,,,
1.162276999999449,1.6542128000000957,,,,1.6542128,1.162277,,,
1.595677399998749,0.9224610999990546,,,,0.9224611,1.5956774,,,
1.413875199999893,1.4185161999994307,,,,1.4185162,1.4138752,,,
1.5786563999990904,1.504282300000341,,,,1.5042823,1.5786564,,,
1.477406300000439,0.9718050999999832,,,,0.9718051,1.4774063,,,
1.496612400000231,1.520249100000001,,,,1.5202491,1.4966124,,,
2.046183200000087,1.120224499998585,,,,1.1202245,2.0461832,,,
1.5296949999992648,1.788007800001651,,,,1.7880078,1.529695,,,
1.4452791000003344,1.718074099999285,,,,1.7180741,1.4452791,,,
1.3801168000009056,1.3715353999996296,,,,1.3715354,1.3801168,,,
1.6629472999993595,1.0015985000009096,,,,1.0015985,1.6629473,,,
1.3628120000012132,1.73418700000002,,,,1.734187,1.362812,,,
1.9731795999996393,1.220516100000168,,,,1.2205161,1.9731796,,,
1.580689299998994,1.2874286999995093,,,,1.2874287,1.5806893,,,
1.4275617000002967,1.3367111000006844,,,,1.3367111,1.4275617,,,
1.5471460999997362,1.8882212000007712,,,,1.8882212,1.5471461,,,
1.178227500000503,1.6894819000008283,,,,1.6894819,1.1782275,,,
1.396328299999368,1.6049543999997695,,,,1.6049544,1.3963283,,,
1.6916930000006687,1.1037458999999217,,,,1.1037459,1.691693,,,
1.1292438000000402,1.4879080999999132,,,,1.4879081,1.1292438,,,
1.6877879999992729,1.1995451999991928,,,,1.1995452,1.687788,,,
1.2959162999995897,1.4829453999991529,,,,1.4829454,1.2959163,,,
1.0790575999999419,1.104670000000624,,,,1.10467,1.0790576,,,
1.4275706999997055,1.3881837999997515,,,,1.3881838,1.4275707,,,
1.9307597000006353,1.4875033999996958,,,,1.4875034,1.9307597,,,
2.1773095999997167,1.2891722999993362,,,,1.2891723,2.1773096,,,
1.479392100000041,1.436388199999783,,,,1.4363882,1.4793921,,,
1.2454953000014939,1.7393410999993648,,,,1.7393411,1.2454953,,,
1.3962179999998625,1.7893133999987185,,,,1.7893134,1.396218,,,
1.3280589999994845,1.0870438999991165,,,,1.0870439,1.328059,,,
1.5243107999995118,1.3724302999999054,,,,1.3724303,1.5243108,,,
1.2405096000002231,2.1550521999997727,,,,2.1550522,1.2405096,,,
1.2136652000008326,1.3516700999989553,,,,1.3516701,1.2136652,,,
1.9616779000007227,2.1542640999996365,,,,2.1542641,1.9616779,,,
1.729949200000192,1.722214299999905,,,,1.7222143,1.7299492,,,
1.8792874999999185,1.5213621000002604,,,,1.5213621,1.8792875,,,
1.4064675999998144,1.2210594999996829,,,,1.2210595,1.4064676,,,
1.54571229999965,1.50323600000047,,,,1.503236,1.5457123,,,
1.7263404999994236,1.401307899999665,,,,1.4013079,1.7263405,,,
1.31281669999953,1.5219608999996126,,,,1.5219609,1.3128167,,,
1.530816500000583,1.2736449000003631,,,,1.2736449,1.5308165,,,
1.4292824000003748,1.2871009999998932,,,,1.287101,1.4292824,,,
1.2747660000004544,1.469958099998621,,,,1.4699581,1.274766,,,
1.4798492000008991,1.28052629999911,,,,1.2805263,1.4798492,,,
1.7121929000004457,1.8173308999994333,,,,1.8173309,1.7121929,,,
1.2957094000012148,1.405580299999201,,,,1.4055803,1.2957094,,,
1.4300449999991542,1.5056724999994913,,,,1.5056725,1.430045,,,
1.9314407000001665,1.281500799999776,,,,1.2815008,1.9314407,,,
1.2291592000001401,1.803803999999218,,,,1.803804,1.2291592,,,
1.0625631000002613,1.5793063000000984,,,,1.5793063,1.0625631,,,
